Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Cafe Coffee Day,13.039527529511272,80.24634676934858,Café
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Gormei Market,13.042822112143945,80.26004118637397,Grocery Store
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Kay,13.046526253689372,80.25557873909933,Women's Store
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Kovai Pazhamudir Nilayam,13.041982248139492,80.24433872289688,Juice Bar
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Copper Chimney,13.045660803162205,80.25805863141214,Indian Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Midnight Express,13.040943959164158,80.25851258759428,Indian Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,The English Tearoom at The Faraway Tree,13.043223070101755,80.25639571283482,Tea Room
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,GO GO Ramen,13.032675037931792,80.25262310699799,Japanese Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Amdavadi,13.041874612160624,80.24494342592712,Indian Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Rhapsody Restaurant,13.045942010059852,80.248047415523,Lounge
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Wonton's,13.0308995807804,80.2540111541748,Chinese Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Sankranti,13.030508906167576,80.25101281079571,Indian Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Pizza Hut,13.039776409483315,80.24428307927323,Pizza Place
