Latitude,Longitude,Pincode,Location,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
13.0300088,77.6208657,560045,Arabic College,4.0,Department Store,Shopping Mall,Pizza Place,North Indian Restaurant,Optical Shop,Indian Restaurant,Pool Hall,Dumpling Restaurant,Dive Bar,Donut Shop
13.030955299999999,77.56485593968172,560054,Msrit,4.0,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Chinese Restaurant,Pizza Place,Clothing Store,Burger Joint,Bus Station,Bistro,Breakfast Spot
13.0328884,77.557374,560054,Mathikere,4.0,Indian Restaurant,Café,Diner,Park,Fast Food Restaurant,American Restaurant,Ice Cream Shop,Sandwich Place,Electronics Store,Dry Cleaner
13.0331172,77.734857,560049,Virgonagar,1.0,Athletics & Sports,Breakfast Spot,Lake,University,Yoga Studio,English Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Space
13.033377,77.5895227,560024,Anandnagar,4.0,Indian Restaurant,Tennis Court,Breakfast Spot,Park,Snack Place,Motorcycle Shop,Café,Fast Food Restaurant,Pizza Place,Coffee Shop
13.0352777,77.7365655,560026,Avalahalli,1.0,Breakfast Spot,Lake,Athletics & Sports,Yoga Studio,Dry Cleaner,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market
13.0374647,77.623602,560045,Nagavara,1.0,Pizza Place,Steakhouse,Multiplex,Café,Shopping Mall,Vegetarian / Vegan Restaurant,Andhra Restaurant,Punjabi Restaurant,Bar,Donut Shop
13.0464531,77.5483803,560013,"Jalahalli,Jalahalli East,Jalahalli Village",4.0,Indian Restaurant,Hotel,Hotel Bar,Shopping Mall,Soccer Field,Spa,Restaurant,Italian Restaurant,Intersection,Indie Movie Theater
13.0479497,77.5001349,560073,Nagasandra,1.0,Bakery,Athletics & Sports,Gas Station,Light Rail Station,Yoga Studio,English Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Dry Cleaner
13.0521017,77.6018107,560024,Hebbal Kempapura,1.0,Department Store,Café,Pharmacy,Food Court,Bus Station,Indian Restaurant,Building,Pizza Place,Fast Food Restaurant,Event Space
13.0566493,77.5048222,560073,Bagalgunte,1.0,Pizza Place,Bakery,Restaurant,Convenience Store,Cosmetics Shop,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
13.0613601,77.6493895,560077,Kothanur,1.0,Badminton Court,Sandwich Place,Bakery,Stadium,Café,Restaurant,Sporting Goods Shop,Pub,North Indian Restaurant,Pizza Place
13.062073550000001,77.59639164365345,560092,"Byatarayanapura,Byatarayanapura",4.0,Indian Restaurant,Hotel,Ice Cream Shop,Department Store,Brewery,Coffee Shop,Bus Station,Chinese Restaurant,Italian Restaurant,Fast Food Restaurant
13.0665131,77.5966238,560092,Amruthahalli,4.0,Indian Restaurant,Bus Station,Hotel,Pizza Place,Brewery,Ice Cream Shop,Bubble Tea Shop,Fast Food Restaurant,Chinese Restaurant,Department Store
13.0766407,77.5577315,560097,Vidyaranyapura,4.0,Bakery,Department Store,Basketball Court,Pizza Place,Coffee Shop,Ice Cream Shop,Indian Restaurant,Bus Station,Dumpling Restaurant,Eastern European Restaurant
13.0784743,77.6068938,560064,Jakkur,4.0,Clothing Store,Indian Restaurant,Animal Shelter,Café,Yoga Studio,English Restaurant,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
